"database","scopus_id","openalex_id","title","journal","publication_year","doi","citations","abstract","authors","query_category"
"Scopus","SCOPUS_ID:105032058737",NA,"Edge AI and Blockchain","Edge Artificial Intelligence Foundations Techniques and Applications",2025,"10.1002/9781394355037.ch20",0,"","Arora A.","political_party"
"OpenAlex",NA,"https://openalex.org/W7134922836","<scp>AABA</scp> Task Force on the Ethical Study of Human Remains Recommendations: Proposal for the Management and Oversight of Community Partnership and Ethical Stewardship of Human Remains","American Journal of Biological Anthropology",2026,"https://doi.org/10.1002/ajpa.70213",4,"Ethically responsible and culturally acceptable management, study, and stewardship of legacy skeletal and other human remains currently held and managed in scientific institutions is a longstanding concern that, over the length of these collections' existence, has been exiguously addressed. Most recently, the ethical treatment of legacy collections of individuals from the African American community in the United States has been especially highlighted. The American Association of Biological Anthropologists (AABA) created a Presidential Task Force to address these concerns about legacy collections in 2022 by drafting practices and recommendations for policies to be adopted by the AABA and sibling organizations. We report on the first ever convergent analysis of research priorities and perspectives on these topics from the communities of biological anthropologists and a national cross-section of African Americans. Based on the surveys and discussions with these communities, all groups expressed a desire to enter a mutual, formal partnership where descendant communities are empowered to make decisions about the study and disposition of legacy collections. Our recommendations focus on promoting dialogue between parties involved through partnerships where desired. To make this possible, institutions should inventory and determine provenance of remains in legacy collections, ascertain the identity of descendant communities, and contact those communities using guidelines we provide. We argue that a default position taken by researchers is that no research need occur without the explicit consent of relevant descendant communities or communities of care. Examples of successful community partnerships are provided, along with new practices in ethical engagement with descendant communities.","Benjamin M. Auerbach; Fatimah Jackson; Shamsi Daneshvari Berry; Michael L. Blakey; Jennifer Caldwell; Carter Clinton; J. L. Graves; Joseph B. Jones; Ellen Lofaro; Ripan S. Malhi; Carmen Mosley; Phoebe R. Stubblefield","political_party"
"OpenAlex",NA,"https://openalex.org/W4389037752","Sustainability transformation in the textile industry—The case of wastewater management","Business Strategy & Development",2023,"https://doi.org/10.1002/bsd2.324",51,"Abstract This paper explores the relationships between textile wastewater management and its impact on ecosystems and community livelihoods. Using the case of the wastewater management practices of the Bangladesh textile industry and thematic analysis of key informant interviews with industry representatives in the production value chain, the study illustrates perceptions of sustainability transformation regarding wastewater management, specifically by integrating sustainable water and energy practices. The findings reveal the adverse effects of textile wastewater on freshwater resources, such as the obstruction of socio‐economic development and environmental sustainability, and highlight the distinctions between compliant and non‐compliant textile industries regarding sustainability transformation. These results also indicate challenges that hinder the sustainability of textile effluent treatment, including the absence of techno‐ecology, pro‐environmental behaviour, stringent regulations, reliable surveillance, and collaborative actions. Recommendations include improving cooperation among community‐stakeholders and decision‐makers to promote sustainability transformation in textile wastewater management, prioritising water energy resources to advance environmental development, and fulfilling socio‐economic demands.","Kamol Gomes; Serena Caucci; Jonathan Morris; Edeltraud Guenther; Judith Miggelbrink","political_party"
"OpenAlex",NA,"https://openalex.org/W4387234785","Chief Executive Officer (CEO) and corporate environmental sustainability: A systematic literature review and avenues for future research","Business Strategy and the Environment",2023,"https://doi.org/10.1002/bse.3577",178,"Abstract Environmental sustainability has gained significant importance for organizations, highlighting the crucial role of business leaders in addressing environmental degradation. However, the connection between chief executive officer (CEO) characteristics and environmental sustainability remains understudied in academic literature. Understanding this relationship is crucial, considering the significance of environmental sustainability in organizational strategies. This paper presents the first systematic literature review (SLR) on this topic, aiming to identify gaps and opportunities for future research. The SLR analysed 139 studies on the CEO–environmental sustainability relationship. The findings indicate a recent increase in research activity, particularly peaking in 2022 and focusing on China and the United States. Most studies employed upper echelons theory and examined the influence of CEO demographic characteristics on environmental performance. However, less attention has been given to CEO psychological traits, such as personality and ethical leadership, and environmental disclosure. Furthermore, qualitative aspects of environmental disclosure, including reporting tone, readability and specificity, have received less attention. The findings offer valuable insights for academics, practitioners and policymakers. Recommendations for future research include exploring the impact of CEO psychological traits and environmental disclosure on a firm's environmental sustainability. Additionally, studying cross‐country and cross‐industry differences in this relationship is encouraged. This study makes a significant contribution to the field by shedding light on the crucial and relevant topic of environmental sustainability and its association with CEO characteristics, providing valuable insights to guide future research and inform decision‐makers.","Karim Mahran; Ahmed A. Elamer","political_party"
"OpenAlex",NA,"https://openalex.org/W3000465094","Varieties of populism","Global Strategy Journal",2020,"https://doi.org/10.1002/gsj.1373",158,"Abstract Research Summary The recent electoral popularity of populism suggests our understanding of global and domestic institutions and their impact and relevance to international business may require adjustment. In particular, the literature may be omitting key variables as to what the political environment entails. We propose a framework for understanding the differing varieties of populism. We examine what channels populist thought operates through and how various strains of populism concentrate on different facets of society. We articulate an operational definition for international strategy based upon prior research in economics, political science, and history. This framework is incorporated into current research on institutional theory as applied in international business, with the goal of proposing a more nuanced and foundational view of institutional environments and how they impact global strategy. Managerial Summary The surge of populism globally—but especially in developed economies—has highlighted new perils for business strategy. Our current models of strategic thinking have not yet caught up to the reality of populism's moment, nor have they accurately captured what are increasingly important facets of a political system, such as traits of specific leaders. This paper examines the need to incorporate new perspectives on institutions into global strategy. In particular, we highlight the various varieties of populism—whether it focuses on economic, social, or political ends—and how each approach can impact a business in a different manner. In doing so, we provide some clarity and guidance for managers faced with political turbulence.","Timothy M. Devinney; Christopher A. Hartwell","political_party"
"OpenAlex",NA,"https://openalex.org/W4312085998","Barriers and facilitators of physical activity among school attending adolescents in Lagos State, Nigeria: A qualitative study exploring views and experiences of decision‐makers in secondary schools","Health Science Reports",2022,"https://doi.org/10.1002/hsr2.997",10,"Background and Aims: Schools represent a unique setting for promoting lifelong physical activity during critical development stages of life. Opportunities for in-school physical activity largely depend upon school-level policies, practices, and administrative support. A significant information gap exists on the factors influencing adolescents' participation in school-based physical activity programs in Nigeria. This study aimed to identify and explore the barriers and facilitators of physical activity in school-attending adolescents in Lagos State, Nigeria. Methods: A qualitative study, using semistructured interviews, was conducted to explore the views and experiences of 21 decision-makers who were responsible for planning the physical and health education curriculum in secondary schools in Lagos State, Nigeria. Data were analyzed using the thematic analysis framework. Results: Eight themes were identified and explored. The barriers were (i) students' characteristics, (ii) parental objections, (iii) no prioritization of physical activity, (iv) insufficient resources, and (v) challenges with schools' initiatives. The facilitators were (vi) students' interests, (vii) students' awareness of benefits, and (viii) schools' initiatives. Conclusion: Our study findings can help in designing interventions to increase physical activity among school-attending adolescents in Lagos, Nigeria.","Busola Adebusoye; Jo Leonardi‐Bee; Revati Phalkey; Kaushik Chattopadhyay","political_party"
"OpenAlex",NA,"https://openalex.org/W4295114799","Transplanting China's ecological civilization to the Belt and Road Initiative: What will it take?","Journal of International Development",2022,"https://doi.org/10.1002/jid.3698",9,"Abstract This article focuses on how Chinese state actors understand the concept of sustainable development and implement policies for achieving the 2030 Agenda and the Sustainable Development Goals (SDGs). We examine the concept of Ecological Civilization (EC) that has gained momentum within China and examine how EC is constructed around certain organizational principles that are difficult to export without expanding Beijing's political control abroad. Based on the example of a coal‐fired power plant in Kenya, we also explore the potential opportunities EC presents for African stakeholders to hold Chinese state actors to account for China's normative principles.","Bjørn Leif Brauteseth; Dan Banik","political_party"
"Scopus","SCOPUS_ID:85068623660",NA,"An exploratory case study focusing on the creation, and development of a new political brand: The case of Aam Aadmi Party","Journal of Public Affairs",2020,"10.1002/pa.1991",2,"","Das Gupta K.","political_party"
"OpenAlex",NA,"https://openalex.org/W3045953757","Political campaigns in South Africa: Does celebrity endorsement influence the intention to vote?","Journal of Public Affairs",2020,"https://doi.org/10.1002/pa.2225",17,"From presidential campaigns to social awareness campaigns, celebrities have gradually become central fixtures in modern politics. They tend to be information platforms for candidates and parties they either clearly support or officially endorse. South African political parties raised eyebrows when they rallied the country's popular celebrities to publicly endorse them. Political parties spend a significant amount of money on celebrity endorsements as it is believed that celebrities can leverage “secondary brand associations”. This leads to the question: does the increased use of celebrity endorsements in political campaigns influence the intention to vote? The aim of this study is to investigate the influence of celebrity political endorsement on intentions to vote. Employing a quantitative research design, 227 respondents were surveyed using a structured questionnaire. The findings show that endorser credibility has a positive significant relationship with political party credibility and voters' intentions. The relationship between political party credibility and voters' intentions is also positive and significant. This study provides managerial implications, limitations and future research.","Nkosivile Welcome Madinga; Eugine Tafadzwa Maziriri; Lebogang Mototo; Tinashe Chuchu","political_party"
"OpenAlex; Scopus","SCOPUS_ID:85121650160","https://openalex.org/W4200315538","Political hibernation in-between elections? Exploring the online communication and mobilisation capacities of Nigeria's political parties","Journal of Public Affairs",2022,"10.1002/pa.2804",4,"A noteworthy limitation among existing studies on the use of online technologies by political parties is the focus on elections. This study extends the frontiers by examining the extent to which Nigeria's political parties use their websites, as well as Facebook and Twitter platforms to communicate and mobilise citizens during and beyond elections. Using web assessment survey, data collected from the online platforms of registered political parties in February 2015 and February 2017 were analysed—to see trends in online activities during (2015 elections) and outside of elections (2017). The study reveals that the parties are caught in the web of the contradictory possibilities of digital engagement. On the one hand, is an online quiescence in the period between elections, which is premised on poor party institutionalisation. On the other hand, the parties are largely unable to reverse elements of institutionalisation challenges by leveraging digital tools to develop roots in the society and boost their public image. This quandary helps to demonstrate where the Nigerian party system fits in the equalisation versus normalisation debate on the utility of digital tools.","Temitayo Isaac Odeyemi; Gideon Uchechukwu Igwebueze; Omomayowa Olawale Abati; Opeyemi Adeola Ogundotun","political_party"
