"id","citations","publication_year","journal","authors","title","doi","matched_term","context_mentions"
"https://openalex.org/W1498339752",1916,2001,"Choice Reviews Online","Unknown Author","Parties without partisans: political change in advanced industrial democracies","https://doi.org/10.5860/choice.39-1833","party decline","MES: CHANGING PARTY PROFILES AND PARTISAN INFLUENCE OVER POLICY CHAPTER 11 ON THE PRIMACY OF PARTY IN GOVERNMENT: WHY LEGISLATIVE PARTIES CAN SURVIVE PARTY DECLINE IN THE ELECTORATE CONCLUSION CHAPTER 12 PARTISAN CHANGE AND THE DEMOCRATIC PROCESS"
"https://openalex.org/W2123295839",1045,2001,"American Political Science Review","Unknown Author","Resurgent Mass Partisanship: The Role of Elite Polarization","https://doi.org/10.1017/s0003055401003045","party decline","gh parties in the 1990s are not as central to Americans as they were in the 1950s, they are far more important today than in the 1970s and 1980s. The party decline thesis is in need of revision."
"https://openalex.org/W2884459365",252,2018,"Oxford University Press eBooks","Unknown Author","From Party Politics to Personalized Politics?","https://doi.org/10.1093/oso/9780198808008.001.0001","party decline","han twenty indicators. It demonstrates that, behind a general trend of decline of political parties, there is much variance among countries. In some, party decline is moderate or even small, which may point to adaptation to the changing environments these parties operate in. In others, parties sharply decline. M"
"https://openalex.org/W1989435151",237,2011,"British Journal of Political Science","Unknown Author","How Parties Shape Class Politics: Explaining the Decline of the Class Basis of Party Support","https://doi.org/10.1017/s0007123411000202","party decline","How Parties Shape Class Politics: Explaining the Decline of the Class Basis of Party Support - Why has the association between class and party declined over time? Contrary to conventional wisdom that emphasizes the fracturing of social structures and blurring of class boundaries in post-industrial s"
"https://openalex.org/W2919820997",174,2019,"European Journal of Political Research","Unknown Author","Party convergence and vote switching: Explaining mainstream party decline across Europe","https://doi.org/10.1111/1475-6765.12331","party decline","Party convergence and vote switching: Explaining mainstream party decline across Europe - Abstract How can one explain the significant vote losses of mainstream parties across Europe in recent years? In this article, it is"
"https://openalex.org/W2753553869",149,2017,"Oxford University Press eBooks","Unknown Author","Myth and Reality of the Legitimacy Crisis","https://doi.org/10.1093/oso/9780198793717.001.0001","party decline","stion existing explanatory theories of legitimacy decline. How valid are theories of modernization, globalization, media malaise, social capital, and party decline, if the predicted outcome, i.e. secular decline of political support, does not occur? And which (new) explanations <italic>can</italic> account for t"
"https://openalex.org/W2024700487",121,2007,"Democratization","Unknown Author","Party System Instability in Europe: Persistent Differences in Volatility between West and East?","https://doi.org/10.1080/13510340601024322","party decline","toral and Party Systems in Postcommunist States', Comparative Politics, Vol. 34, No. 2 (2002), pp.189–210; Andrew Drummond, 'Electoral Volatility and Party Decline in Western Democracies: 1970-1995', Paper 02-02, Centre for the Study of Democracy, University of California, Irvine (2002); Jack Bielasiak, 'Party C"
"https://openalex.org/W4255747906",117,2002,"Unknown Journal","Unknown Author","Political Parties","https://doi.org/10.1093/0199246742.001.0001","party decline","h but also insofar as they can affect party performance. Other chapters also examine in detail how corruption and party patronage have contributed to party decline, as well as public attitudes towards parties in several countries. In the aggregate, the various contributions to the book reject the notion that a ‘"
"https://openalex.org/W2167244588",111,2006,"Political Studies","Unknown Author","Electoral Volatility and Party Decline in Western Democracies: 1970–1995","https://doi.org/10.1111/j.1467-9248.2006.00617.x","party decline","Electoral Volatility and Party Decline in Western Democracies: 1970–1995 - In 1970, Richard Rose and Derek Urwin published a seminal piece on the stability of party support in Western demo"
"https://openalex.org/W1825099991",104,2012,"Unknown Journal","Unknown Author","Mapping the Extreme Right in Contemporary Europe","https://doi.org/10.4324/9780203121924","party decline","rak Arikan 15. Scandinavian Right-Wing Parties: Diversity more than Convergence? Marie Demker 16. Downside after the Summit: Factors in Extreme-Right Party Decline in France and Austria Michelle Hale Williams Part 5: From 'Local' to 'Transnational 17. Rights, Roots, and Routes: Local and Transnational Contexts o"
