"from","to"
"W1512096531","W1498339752"
"W113511247","W1498339752"
"W4211222200","W1498339752"
"W2124751389","W2123295839"
"W2128106636","W2123295839"
"W2137029365","W2123295839"
"W67332667","W1498339752"
"W2132575282","W2123295839"
"W1595106591","W2123295839"
"W414482142","W1498339752"
"W2103146267","W2123295839"
"W2970785670","W1498339752"
"W2102968466","W2123295839"
"W2168659096","W2123295839"
"W2173132378","W2123295839"
"W2792378751","W2123295839"
"W1543446303","W1498339752"
"W2137488413","W2123295839"
"W2323922183","W2123295839"
"W3125647857","W2123295839"
"W2108361872","W1498339752"
"W2131244513","W2123295839"
"W2883678596","W2123295839"
"W656577657","W1498339752"
"W2369742958","W1498339752"
"W1505483790","W2123295839"
"W2112557327","W2123295839"
"W2132488280","W2123295839"
"W2308341436","W2123295839"
"W3199505005","W2123295839"
"W2121692752","W1498339752"
"W3176626547","W2123295839"
"W2152800221","W1498339752"
"W2123382376","W1498339752"
"W2093935162","W1498339752"
"W2111300691","W1498339752"
"W2782649466","W1989435151"
"W2767059180","W2123295839"
"W1858975100","W2123295839"
"W1529705691","W1498339752"
"W2756230309","W2123295839"
"W2166835535","W1498339752"
"W2166835535","W2123295839"
"W1970174000","W1498339752"
"W3000859198","W2123295839"
"W2004626679","W2123295839"
"W2110259258","W1498339752"
"W2095653578","W1498339752"
"W2138612631","W2123295839"
"W2204621010","W1498339752"
"W2123702190","W2123295839"
"W2053862697","W1498339752"
"W2114341457","W1498339752"
"W2552189168","W1498339752"
"W3144808044","W2123295839"
"W4211086993","W2123295839"
"W1996702602","W2123295839"
"W616848348","W2123295839"
"W2121993559","W2123295839"
"W2133984843","W1498339752"
"W2055873405","W1498339752"
"W2744228948","W1989435151"
"W2061483533","W1498339752"
"W2078194049","W1989435151"
"W2080289065","W2123295839"
"W1910264740","W1498339752"
"W2152457699","W1498339752"
"W2962972034","W2123295839"
"W4211221081","W2123295839"
"W2161137245","W1498339752"
"W2116869786","W2123295839"
"W2165620557","W2123295839"
"W2167927179","W2123295839"
"W2561427996","W2123295839"
"W1999057994","W2123295839"
"W2118775452","W2123295839"
"W1975057506","W2123295839"
"W1949165848","W2123295839"
"W131471883","W2123295839"
"W1962095932","W2123295839"
"W1523850678","W2123295839"
"W1547177775","W1498339752"
"W633636783","W1498339752"
"W2166223025","W1498339752"
"W2883729868","W1498339752"
"W2077809598","W1498339752"
"W2116187624","W2123295839"
"W2051666127","W1498339752"
"W2154580852","W1498339752"
"W2017753398","W1498339752"
"W2083199857","W1498339752"
"W4210991290","W1989435151"
"W1973196462","W1498339752"
"W3045551499","W2123295839"
"W2162011210","W2123295839"
"W2380521386","W1498339752"
"W1974292717","W1498339752"
"W1976000116","W1498339752"
"W2900336955","W1498339752"
"W2900336955","W2123295839"
"W2111709045","W2123295839"
"W4232181880","W1498339752"
"W2102074975","W1498339752"
"W2088474625","W2123295839"
"W2078394215","W1498339752"
"W2144695856","W1989435151"
"W2551085549","W1498339752"
"W2461229035","W1498339752"
"W2017019354","W1498339752"
"W3034108861","W2123295839"
"W2792594340","W2123295839"
"W2093318324","W1498339752"
"W2799441773","W1989435151"
"W2326755378","W2123295839"
"W1498694128","W1498339752"
"W2036999860","W1498339752"
"W2132645007","W2123295839"
"W3183527329","W2123295839"
"W2136219373","W1498339752"
"W2130355628","W1498339752"
"W2321271475","W1498339752"
"W1864992357","W2123295839"
"W2017450497","W2123295839"
"W2146093036","W2123295839"
"W2966844214","W2123295839"
"W2088396682","W2123295839"
"W2105796861","W1498339752"
"W1847953270","W2123295839"
"W2485373243","W1498339752"
"W2116913953","W1498339752"
"W2626667707","W1498339752"
"W2334553580","W2123295839"
"W1972907137","W2123295839"
"W2255614555","W1989435151"
"W4248360267","W1989435151"
"W2145536413","W1498339752"
"W2161324583","W1498339752"
"W2183020242","W2123295839"
"W2579964513","W1989435151"
"W2062687676","W1498339752"
"W2892513450","W2123295839"
"W2955417730","W2123295839"
"W2575305092","W1989435151"
"W2154370119","W1498339752"
"W1778982737","W1498339752"
"W1988775947","W2123295839"
"W2744170396","W1498339752"
"W2005153658","W1498339752"
"W128758652","W2123295839"
"W1492062482","W1498339752"
"W2106796630","W1498339752"
"W4289886381","W1498339752"
"W1930711033","W2123295839"
"W2623030500","W2123295839"
"W1976878103","W1498339752"
"W2789399430","W1498339752"
"W618576358","W1498339752"
"W1550115494","W2123295839"
"W2085201203","W1498339752"
"W2085201203","W2123295839"
"W2103918491","W1498339752"
"W2809133613","W2123295839"
"W2051126081","W1498339752"
"W3124221578","W2123295839"
"W2064953113","W1989435151"
"W3121450275","W2123295839"
"W2498209614","W1498339752"
"W2618185485","W2123295839"
"W2945862047","W1989435151"
"W1963811564","W1498339752"
"W2401442691","W1498339752"
"W2519334354","W2123295839"
"W2979940622","W2123295839"
"W2153617192","W1498339752"
"W2342486800","W1498339752"
"W2048136616","W1989435151"
"W2211458850","W1498339752"
"W2119702890","W1498339752"
"W2958262822","W1989435151"
"W2993628320","W1498339752"
"W2112589541","W1498339752"
"W2709919805","W2123295839"
"W2027451447","W1498339752"
"W3135593016","W2919820997"
"W2122826659","W1498339752"
"W4249229434","W2884459365"
"W2141976840","W1498339752"
"W2165038751","W1498339752"
"W3147394217","W1498339752"
"W2137670068","W1498339752"
"W2012374070","W1498339752"
"W2001410560","W2123295839"
"W2026162196","W1498339752"
"W2026162196","W2123295839"
"W3125955911","W1498339752"
"W2313271385","W1989435151"
"W2117492160","W1498339752"
"W2117278170","W1498339752"
"W2486151938","W1498339752"
"W2163226859","W2123295839"
"W4205861050","W1498339752"
"W1634273339","W2123295839"
"W2586101969","W2123295839"
"W2794911434","W2123295839"
"W2136682973","W1498339752"
"W2202149807","W1498339752"
"W1548680319","W1498339752"
"W1971472138","W1498339752"
"W2309959022","W2123295839"
"W2898501589","W1498339752"
"W2075001381","W2123295839"
"W2916240972","W2123295839"
"W4205148905","W2123295839"
"W1965358114","W2123295839"
"W2077712191","W1498339752"
"W2523214040","W1989435151"
"W2074773620","W1498339752"
"W2770628969","W1498339752"
"W2055391325","W1498339752"
"W2807250551","W1498339752"
"W2807250551","W2884459365"
"W2787004625","W1498339752"
"W2941417195","W2884459365"
"W2133718021","W2123295839"
"W2170601905","W2123295839"
"W2035643034","W2123295839"
"W1998803633","W1498339752"
"W2088929475","W1498339752"
"W2145136565","W2123295839"
"W3023341491","W2123295839"
"W1997964082","W1498339752"
"W2129788799","W1498339752"
"W2990632962","W2123295839"
"W2103797786","W1498339752"
"W1984882863","W1498339752"
"W4297898068","W1498339752"
"W2034385521","W1498339752"
"W2143451041","W1498339752"
"W1988662912","W1498339752"
"W2126591835","W2123295839"
"W4255383610","W1498339752"
"W2116826300","W1498339752"
"W2155989908","W1498339752"
"W2167244588","W1498339752"
"W2323231283","W2123295839"
"W2886938974","W2123295839"
"W2946670719","W1989435151"
"W2008458646","W1498339752"
"W2084674187","W1498339752"
"W2167593235","W1498339752"
"W1745022078","W2123295839"
"W2933591519","W1989435151"
"W1996376645","W1498339752"
"W2098025600","W1498339752"
"W3206308820","W2123295839"
"W2040045996","W1498339752"
"W2948015751","W1498339752"
"W3021534893","W1498339752"
"W4211255204","W1498339752"
"W4211255204","W2123295839"
"W2016465165","W1498339752"
"W2024133319","W1498339752"
"W2898755344","W1498339752"
"W3200958732","W1498339752"
"W2068665279","W1498339752"
"W3024937067","W1498339752"
"W2003109948","W1498339752"
"W2344895078","W2123295839"
"W903690309","W1989435151"
"W2891618394","W1498339752"
"W2100846817","W1498339752"
"W4256432734","W1498339752"
"W2004404974","W1498339752"
"W1974429583","W2123295839"
"W2099036753","W1989435151"
"W2129508844","W1498339752"
"W2098913055","W1498339752"
"W2112017886","W1498339752"
"W2134132871","W1498339752"
"W3003661537","W2919820997"
"W3036887186","W2123295839"
"W2142287090","W1498339752"
"W2623752926","W1498339752"
"W2772511918","W1498339752"
"W432641530","W1498339752"
"W1805461049","W1498339752"
"W1982760416","W1498339752"
"W2584345156","W1498339752"
"W4382753962","W2123295839"
"W1910751509","W1498339752"
"W2136145071","W1498339752"
"W2572825994","W1498339752"
"W3003722237","W2123295839"
"W1538021567","W2123295839"
"W2009094546","W1498339752"
"W2085963187","W1498339752"
"W2030171464","W2123295839"
"W2042310879","W1498339752"
"W2106182603","W1498339752"
"W2478303139","W1498339752"
"W2735116835","W1498339752"
"W2735116835","W2123295839"
"W2998889486","W1989435151"
"W2027579577","W2123295839"
"W2141275802","W2123295839"
"W2488224561","W1498339752"
"W1926477254","W1498339752"
"W2004377770","W1989435151"
"W2004377770","W2123295839"
"W2795707226","W2123295839"
"W2895640244","W2123295839"
"W998382028","W2123295839"
"W1562040073","W1498339752"
"W2026795486","W1498339752"
"W2789317946","W1498339752"
"W2316746415","W1498339752"
"W2754632833","W2123295839"
"W2791975766","W2123295839"
"W4221033729","W2123295839"
"W609121941","W2123295839"
"W2021076918","W1498339752"
"W2116674836","W1498339752"
"W2626832970","W1498339752"
"W2626832970","W2123295839"
"W2779444341","W2123295839"
"W1589544962","W1498339752"
"W1984652092","W1989435151"
"W2052704329","W1498339752"
"W2141102386","W1498339752"
"W2488341576","W1498339752"
"W2602166444","W2123295839"
"W4213158647","W1498339752"
"W2015256920","W2123295839"
"W2097705129","W1498339752"
"W2100811157","W1498339752"
"W2122286793","W1498339752"
"W4382560490","W2123295839"
"W4382560490","W2884459365"
"W1545677660","W1498339752"
"W3035799387","W1498339752"
"W153271054","W2123295839"
"W1578273113","W1498339752"
"W2085623589","W1498339752"
"W2162359144","W2123295839"
"W2460745556","W1498339752"
"W2737957293","W1989435151"
"W1522104373","W1498339752"
"W2124543983","W1498339752"
"W3169064779","W1498339752"
"W2115949237","W1989435151"
"W2166769076","W2123295839"
"W2598384301","W2123295839"
"W2966094026","W2123295839"
"W2029719047","W1498339752"
"W2410023785","W1498339752"
"W2997982172","W2123295839"
"W2603301784","W1498339752"
"W2883733001","W1989435151"
"W2914440869","W2123295839"
"W4214908154","W1498339752"
"W4214908154","W2884459365"
"W1587563010","W1498339752"
"W2108460968","W1498339752"
"W2141474657","W2123295839"
"W2288577904","W1498339752"
"W2606849770","W2123295839"
"W1972454809","W1498339752"
"W2081094430","W1498339752"
"W2110071203","W1498339752"
"W2756199168","W2123295839"
"W2806304412","W1498339752"
"W3010565227","W1498339752"
"W2288688419","W1498339752"
"W3033864133","W1498339752"
"W3087681515","W2884459365"
"W3123962425","W1498339752"
"W3125571891","W2123295839"
"W3172311851","W2123295839"
"W4293834420","W2919820997"
"W2098451671","W1498339752"
"W2116528953","W1498339752"
"W2755387762","W2123295839"
"W1556040152","W2123295839"
"W2157731402","W1498339752"
"W2312162673","W2123295839"
"W2894369700","W2123295839"
"W2989853876","W1498339752"
"W3017843910","W1989435151"
"W4220936985","W2123295839"
"W583728386","W2123295839"
"W1998119154","W1498339752"
"W2152597459","W2123295839"
"W2242731303","W1498339752"
"W2913571149","W1498339752"
"W1808106380","W1498339752"
"W1877258039","W1498339752"
"W2808111014","W2123295839"
"W2901504978","W1498339752"
"W2901504978","W2123295839"
"W3030302561","W2884459365"
"W2151232634","W1498339752"
"W2167749165","W1498339752"
"W2949154635","W1498339752"
"W2949154635","W2884459365"
"W3130588862","W1498339752"
"W3130588862","W2884459365"
"W1966355333","W1498339752"
"W2328883463","W2123295839"
"W3125277454","W1498339752"
"W4220697421","W2884459365"
"W4366716980","W2919820997"
"W2139263716","W2123295839"
"W2155507143","W1498339752"
"W2522064609","W1498339752"
"W2961538727","W1498339752"
"W2035517204","W1498339752"
"W2094957367","W2123295839"
"W2327747669","W1498339752"
"W2965249174","W1498339752"
"W2970288983","W1989435151"
"W2006571444","W1498339752"
"W2501804015","W1498339752"
"W2559450500","W1498339752"
"W4211144239","W1498339752"
"W4224297815","W2123295839"
"W1965740148","W2123295839"
"W2277178354","W1498339752"
"W3019791053","W1498339752"
"W3121926709","W2123295839"
"W4211098369","W1989435151"
"W4405154241","W1989435151"
"W4405154241","W2919820997"
"W1985453807","W2123295839"
"W3034299837","W2123295839"
"W2003533870","W1498339752"
"W2507786927","W2123295839"
"W2740813300","W1498339752"
"W3174779202","W2884459365"
"W1486097504","W1498339752"
"W2064450254","W1498339752"
"W90504827","W1498339752"
"W2792034734","W1498339752"
"W3091820714","W1989435151"
"W3197791267","W2884459365"
"W3206012450","W2919820997"
"W3023663380","W1498339752"
"W3087582676","W1989435151"
"W2035420383","W1498339752"
"W2604857694","W2123295839"
"W2755877570","W2123295839"
"W3036973397","W1989435151"
"W2019641651","W1498339752"
