"id","title","display_name","abstract","doi","publication_date","publication_year","fwci","cited_by_count","type","is_oa","is_oa_anywhere","oa_status","oa_url","any_repository_has_fulltext","source_display_name","source_id","issn_l","host_organization","host_organization_name","landing_page_url","pdf_url","license","version","referenced_works_count","is_paratext","is_retracted","language","first_page","last_page","volume","issue","oa_input"
"W1498339752","Parties without partisans: political change in advanced industrial democracies","Parties without partisans: political change in advanced industrial democracies","INTRODUCTION CHAPTER 1 UNTHINKABLE DEMOCRACY: POLITICAL CHANGE IN ADVANCED INDUSTRIAL DEMOCRACIES PART I PARTIES IN THE ELECTORATE CHAPTER 2 THE DECLINE OF PARTY IDENTIFICATIONS CHAPTER 3 THE CONSEQUENCES OF PARTISAN DEALIGNMENT CHAPTER 4 THE DECLINE OF PARTY MOBILIZATION PART II PARTIES AS POLITICAL ORGANIZATIONS CHAPTER 5 PARTIES WITHOUT MEMBERS? PARTY ORGANIZATION IN A CHANGING ELECTORAL ENVIRONMENT CHAPTER 6 POLITICAL PARTIES AS CAMPAIGN ORGANIZATIONS CHAPTER 7 FROM SOCIAL INTEGRATION TO ELECTORAL CONTESTATION: THE CHANGING DISTRIBUTION OF POWER WITHIN POLITICAL PARTIES PART III PARTIES IN GOVERNMENT CHAPTER 8 PARTIES IN LEGISLATURE: TWO COMPETING EXPLANATIONS CHAPTER 9 PARTIES AT THE CORE OF GOVERNMENT CHAPTER 10 FROM PLATFORM DECLARATIONS TO POLICY OUTCOMES: CHANGING PARTY PROFILES AND PARTISAN INFLUENCE OVER POLICY CHAPTER 11 ON THE PRIMACY OF PARTY IN GOVERNMENT: WHY LEGISLATIVE PARTIES CAN SURVIVE PARTY DECLINE IN THE ELECTORATE CONCLUSION CHAPTER 12 PARTISAN CHANGE AND THE DEMOCRATIC PROCESS","https://doi.org/10.5860/choice.39-1833",2001-11-01,2001,88.0187,1916,"article",FALSE,FALSE,"closed",NA,FALSE,"Choice Reviews Online","https://openalex.org/S2764375719","0009-4978","https://openalex.org/P4310316146","Association of College and Research Libraries","https://doi.org/10.5860/choice.39-1833",NA,NA,"publishedVersion",0,FALSE,FALSE,"en","39","1833","39","03",TRUE
"W2123295839","Resurgent Mass Partisanship: The Role of Elite Polarization","Resurgent Mass Partisanship: The Role of Elite Polarization","For the most part, scholars who study American political parties in the electorate continue to characterize them as weak and in decline. Parties on the elite level, however, have experienced a resurgence over the last two decades. Such a divergence between elite behavior and mass opinion is curious, given that most models of public opinion place the behavior of elites at their core. In fact, I find that parties in the electorate have experienced a noteworthy resurgence over the last two decades. Greater partisan polarization in Congress has clarified the parties’ ideological positions for ordinary Americans, which in turn has increased party importance and salience on the mass level. Although parties in the 1990s are not as central to Americans as they were in the 1950s, they are far more important today than in the 1970s and 1980s. The party decline thesis is in need of revision.","https://doi.org/10.1017/s0003055401003045",2001-09-01,2001,41.5973,1045,"article",FALSE,FALSE,"closed",NA,FALSE,"American Political Science Review","https://openalex.org/S176007004","0003-0554","https://openalex.org/P4310311721","Cambridge University Press","https://doi.org/10.1017/s0003055401003045",NA,NA,"publishedVersion",47,FALSE,FALSE,"en","619","631","95","3",TRUE
"W2884459365","From Party Politics to Personalized Politics?","From Party Politics to Personalized Politics?","The book examines two of the most prominent developments in contemporary democratic politics, party change and political personalization, and the relationship between them. It presents a broad-brush, cross-national comparison of these phenomena that covers around fifty years in twenty-six countries through the use of more than twenty indicators. It demonstrates that, behind a general trend of decline of political parties, there is much variance among countries. In some, party decline is moderate or even small, which may point to adaptation to the changing environments these parties operate in. In others, parties sharply decline. Most cases fall between these two poles. A clear general trend of personalization in politics is identified, but there are large differences among countries in its magnitude and manifestations. Surprisingly, the online world seems to supply parties with an opportunity to revive. When parties decline, personalization increases. Yet these are far from being perfect zero-sum relationships, which leaves room for the possibility that other political actors may step in when parties decline and that, in some cases, personalization may not hurt parties; it may even strengthen them. Personalization is a big challenge to parties. But parties were, are, and will remain a solution to the problem of collective action, of channeling personal energies to the benefit of the group. Thus they can cope with personalization and even use it to their advantage.","https://doi.org/10.1093/oso/9780198808008.001.0001",2018-07-19,2018,10.4503,252,"book",FALSE,FALSE,"closed",NA,FALSE,"Oxford University Press eBooks","https://openalex.org/S4306463708",NA,"https://openalex.org/P4310311648","Oxford University Press","https://doi.org/10.1093/oso/9780198808008.001.0001",NA,NA,"publishedVersion",0,FALSE,FALSE,"en",NA,NA,NA,NA,TRUE
"W1989435151","How Parties Shape Class Politics: Explaining the Decline of the Class Basis of Party Support","How Parties Shape Class Politics: Explaining the Decline of the Class Basis of Party Support","Why has the association between class and party declined over time? Contrary to conventional wisdom that emphasizes the fracturing of social structures and blurring of class boundaries in post-industrial society, it is argued here that class divisions in party preferences are conditioned by the changing shape of the class structure and the effect of parties’ strategic ideological responses to this transformation on the choices facing voters. This thesis is tested using British survey data from 1959 to 2006. We demonstrate that increasing class heterogeneity does not account for the decline of the class–party association, which occurs primarily as a result of ideological convergence between the main parties resulting from New Labour's shift to the centre.","https://doi.org/10.1017/s0007123411000202",2011-07-14,2011,39.3742,237,"article",FALSE,FALSE,"closed",NA,FALSE,"British Journal of Political Science","https://openalex.org/S95691132","0007-1234","https://openalex.org/P4310311721","Cambridge University Press","https://doi.org/10.1017/s0007123411000202",NA,NA,"publishedVersion",73,FALSE,FALSE,"en","137","161","42","1",TRUE
"W2919820997","Party convergence and vote switching: Explaining mainstream party decline across Europe","Party convergence and vote switching: Explaining mainstream party decline across Europe","Abstract How can one explain the significant vote losses of mainstream parties across Europe in recent years? In this article, it is argued that mainstream party convergence is an important determinant of the recent political and electoral volatility in European party systems. More specifically, it is hypothesised that as mainstream parties converge on the left‐right scale, voters will switch from supporting a mainstream party to a non‐mainstream party in the next election as they look for an alternative that better represents their ideological views. To test these theoretical expectations, data is combined from the Comparative Study of Electoral Systems and the Manifestos Project for nearly 15,000 vote choices of individual voters in 30 elections in 16 West and East European countries from 2001 until 2013. The findings have important implications for understanding the recent rise of non‐mainstream parties, the changing nature of party systems and the increasing complexity of cabinet formation across Europe.","https://doi.org/10.1111/1475-6765.12331",2019-02-28,2019,86.9468,174,"article",FALSE,FALSE,"closed",NA,FALSE,"European Journal of Political Research","https://openalex.org/S135158421","0304-4130","https://openalex.org/P4310320595","Wiley","https://doi.org/10.1111/1475-6765.12331",NA,NA,"publishedVersion",71,FALSE,FALSE,"en","1021","1042","58","4",TRUE
"W1512096531","Comparing Media Systems","Comparing Media Systems","Building on a survey of media institutions in eighteen West European and North American democracies, Hallin and Mancini identify the principal dimensions of variation in media systems and the political variables which have shaped their evolution. They go on to identify three major models of media system development (the Polarized Pluralist, Democratic Corporatist and Liberal models) to explain why the media have played a different role in politics in each of these systems, and to explore the forces of change that are currently transforming them. It provides a key theoretical statement about the relation between media and political systems, a key statement about the methodology of comparative analysis in political communication and a clear overview of the variety of media institutions that have developed in the West, understood within their political and historical context.","https://doi.org/10.1017/cbo9780511790867",2004-04-12,2004,25.3376,5313,"book",FALSE,FALSE,"closed",NA,FALSE,"Cambridge University Press eBooks","https://openalex.org/S4306462995",NA,"https://openalex.org/P4310311721","Cambridge University Press","https://doi.org/10.1017/cbo9780511790867",NA,NA,"publishedVersion",368,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W113511247","Modernization, cultural change, and democracy the human development sequence","Modernization, cultural change, and democracy the human development sequence","This book demonstrates that people's basic values and beliefs are changing, in ways that affect their political, sexual, economic, and religious behaviour. These changes are roughly predictable: to a large extent, they can be interpreted on the basis of a revised version of modernisation theory presented here. Drawing on a massive body of evidence from societies containing 85 percent of the world's population, the authors demonstrate that modernisation is a process of human development, in which economic development gives rise to cultural changes that make individual autonomy, gender equality, and democracy increasingly likely. The authors present a model of social change that predicts how the value systems play a crucial role in the emergence and flourishing of democratic institutions - and that modernisation brings coherent cultural changes that are conducive to democratisation","https://doi.org/10.1017/cbo9780511790881",2005-01-01,2005,197.9705,3736,"book",FALSE,FALSE,"closed",NA,FALSE,NA,NA,NA,NA,NA,"http://bvbr.bib-bvb.de:8991/F?func=service&amp;doc_library=BVB01&amp;local_base=BVB01&amp;doc_number=014566180&amp;sequence=000005&amp;line_number=0001&amp;func_code=DB_RECORDS&amp;service_type=MEDIA",NA,NA,"submittedVersion",374,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W4211222200","Modernization, Cultural Change, and Democracy","Modernization, Cultural Change, and Democracy","This book demonstrates that people's basic values and beliefs are changing, in ways that affect their political, sexual, economic, and religious behaviour. These changes are roughly predictable: to a large extent, they can be interpreted on the basis of a revised version of modernisation theory presented here. Drawing on a massive body of evidence from societies containing 85 percent of the world's population, the authors demonstrate that modernisation is a process of human development, in which economic development gives rise to cultural changes that make individual autonomy, gender equality, and democracy increasingly likely. The authors present a model of social change that predicts how the value systems play a crucial role in the emergence and flourishing of democratic institutions - and that modernisation brings coherent cultural changes that are conducive to democratisation.","https://doi.org/10.1017/cbo9780511790881",2001-01-01,2001,2.4575,2582,"book",FALSE,FALSE,"closed",NA,FALSE,"Cambridge University Press eBooks","https://openalex.org/S4306462995",NA,"https://openalex.org/P4310311721","Cambridge University Press","https://doi.org/10.1017/cbo9780511790881",NA,NA,"publishedVersion",367,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2124751389","Affect, Not Ideology","Affect, Not Ideology","The current debate over the extent of polarization in the American mass public focuses on the extent to which partisans’ policy preferences have moved. Whereas ""maximalists"" claim that partisans’ views on policies have become more extreme over time (Abramowitz 2010), ""minimalists"" (Fiorina and Abrams 2009) contend that the majority of Americans remain centrist, and that what little centrifugal movement has occurred reflects sorting, i.e., the increased association between partisanship and ideology. We argue in favor of an alternative definition of polarization, based on the classic concept of social distance (Bogardus 1947). Using data from a variety of sources, we demonstrate that both Republicans and Democrats increasingly dislike, even loathe, their opponents. We also find that partisan affect is inconsistently (and perhaps artifactually) founded in policy attitudes. The more plausible account lies in the nature of political campaigns; exposure to messages attacking the out-group reinforces partisans’ biased views of their opponents.","https://doi.org/10.1093/poq/nfs038",2012-09-01,2012,163.892,2527,"article",FALSE,FALSE,"closed",NA,FALSE,"Public Opinion Quarterly","https://openalex.org/S135539873","0033-362X","https://openalex.org/P4310311648","Oxford University Press","https://doi.org/10.1093/poq/nfs038",NA,NA,"publishedVersion",53,FALSE,FALSE,"en","405","431","76","3",FALSE
"W2128106636","Political Ideology: Its Structure, Functions, and Elective Affinities","Political Ideology: Its Structure, Functions, and Elective Affinities","Ideology has re-emerged as an important topic of inquiry among social, personality, and political psychologists. In this review, we examine recent theory and research concerning the structure, contents, and functions of ideological belief systems. We begin by defining the construct and placing it in historical and philosophical context. We then examine different perspectives on how many (and what types of) dimensions individuals use to organize their political opinions. We investigate (a) how and to what extent individuals acquire the discursive contents associated with various ideologies, and (b) the social-psychological functions that these ideologies serve for those who adopt them. Our review highlights ""elective affinities"" between situational and dispositional needs of individuals and groups and the structure and contents of specific ideologies. Finally, we consider the consequences of ideology, especially with respect to attitudes, evaluations, and processes of system justification.","https://doi.org/10.1146/annurev.psych.60.110707.163600",2008-11-29,2008,84.4719,2100,"review",FALSE,FALSE,"closed",NA,FALSE,"Annual Review of Psychology","https://openalex.org/S90670110","0066-4308","https://openalex.org/P4310320373","Annual Reviews","https://doi.org/10.1146/annurev.psych.60.110707.163600",NA,NA,"publishedVersion",244,FALSE,FALSE,"en","307","337","60","1",FALSE
